epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
106,5988.2,1.81887,1.88457,0.01533,0.45875,0.38215,0.36248,0.17601,1.57193,1.54634,0.01313,0.000614,0.000614,0.000614
107,6043.96,1.78662,1.89901,0.01505,0.46825,0.38919,0.37132,0.18038,1.54251,1.51124,0.01289,0.0006008,0.0006008,0.0006008
108,6099.62,1.82616,1.88613,0.01544,0.44087,0.39233,0.35819,0.17058,1.56303,1.56582,0.01285,0.0005876,0.0005876,0.0005876
109,6156.94,1.78377,1.86458,0.01562,0.46692,0.38215,0.35829,0.17196,1.5495,1.47892,0.0131,0.0005744,0.0005744,0.0005744
110,6214.29,1.79704,1.88174,0.01572,0.42605,0.39311,0.34914,0.17134,1.55912,1.52392,0.01254,0.0005612,0.0005612,0.0005612
111,6273.54,1.81651,1.89234,0.01551,0.45089,0.4119,0.36737,0.18265,1.53075,1.49404,0.01328,0.000548,0.000548,0.000548
112,6333.24,1.82237,1.90426,0.01565,0.44531,0.39781,0.35939,0.18072,1.48872,1.49499,0.01262,0.0005348,0.0005348,0.0005348
113,6390.47,1.80698,1.90101,0.0163,0.4596,0.40626,0.37749,0.18226,1.53498,1.48917,0.01339,0.0005216,0.0005216,0.0005216
114,6448.04,1.77916,1.90227,0.01523,0.46206,0.41034,0.37272,0.17909,1.50133,1.4862,0.01316,0.0005084,0.0005084,0.0005084
115,6507.63,1.76725,1.90947,0.01522,0.46437,0.40802,0.37728,0.18614,1.49863,1.44637,0.01303,0.0004952,0.0004952,0.0004952
116,6567.16,1.75439,1.82026,0.01525,0.47759,0.42208,0.38692,0.18702,1.51352,1.46147,0.01311,0.000482,0.000482,0.000482
117,6625.31,1.78364,1.89574,0.01497,0.45473,0.39624,0.36794,0.17674,1.56733,1.46172,0.0132,0.0004688,0.0004688,0.0004688
118,6682.73,1.79658,1.88695,0.0159,0.45429,0.41582,0.37079,0.18133,1.54487,1.43714,0.01298,0.0004556,0.0004556,0.0004556
119,6740.03,1.76168,1.83138,0.01497,0.4617,0.40172,0.35983,0.18069,1.49563,1.55372,0.01261,0.0004424,0.0004424,0.0004424
120,6799.68,1.76784,1.85371,0.0154,0.47683,0.40754,0.38588,0.19434,1.50343,1.49972,0.01272,0.0004292,0.0004292,0.0004292
121,6857.59,1.73408,1.82536,0.01495,0.46072,0.39539,0.37448,0.18695,1.50346,1.53212,0.01265,0.000416,0.000416,0.000416
122,6917.27,1.80508,1.8197,0.01563,0.47781,0.39546,0.37143,0.18156,1.51178,1.54144,0.01256,0.0004028,0.0004028,0.0004028
123,6975.46,1.78664,1.8156,0.01502,0.47069,0.39859,0.37249,0.1827,1.50106,1.45743,0.01288,0.0003896,0.0003896,0.0003896
124,7033.72,1.80282,1.84498,0.01566,0.46912,0.40688,0.36724,0.18698,1.4859,1.47912,0.0125,0.0003764,0.0003764,0.0003764
125,7092.17,1.79673,1.81534,0.01558,0.47033,0.38449,0.37305,0.18678,1.50632,1.50294,0.0124,0.0003632,0.0003632,0.0003632
126,7149.51,1.75382,1.8419,0.01489,0.46596,0.39546,0.37159,0.18554,1.50052,1.50075,0.0123,0.00035,0.00035,0.00035
127,7206.95,1.74639,1.80918,0.0151,0.49045,0.39781,0.38845,0.19309,1.51225,1.49701,0.01231,0.0003368,0.0003368,0.0003368
128,7263.17,1.75631,1.80439,0.01479,0.47404,0.42489,0.38478,0.18833,1.50497,1.46307,0.01264,0.0003236,0.0003236,0.0003236
129,7319.06,1.76607,1.82852,0.0149,0.46999,0.4229,0.39187,0.19403,1.50781,1.42801,0.01239,0.0003104,0.0003104,0.0003104
130,7375.16,1.77711,1.80482,0.01513,0.4727,0.39859,0.38262,0.19017,1.49601,1.4579,0.01226,0.0002972,0.0002972,0.0002972
131,7433.81,1.78162,1.82334,0.0153,0.45468,0.42522,0.39258,0.19731,1.50192,1.48335,0.01222,0.000284,0.000284,0.000284
132,7492.16,1.72225,1.77617,0.01385,0.4541,0.4182,0.3892,0.19214,1.51963,1.48005,0.01269,0.0002708,0.0002708,0.0002708
133,7551.08,1.77267,1.80821,0.01513,0.46665,0.42343,0.38956,0.19689,1.48411,1.45278,0.01235,0.0002576,0.0002576,0.0002576
134,7609.05,1.75026,1.77912,0.01498,0.45798,0.42287,0.39088,0.19597,1.4668,1.45178,0.01201,0.0002444,0.0002444,0.0002444
135,7666.18,1.72919,1.84912,0.01485,0.46437,0.4072,0.38201,0.19173,1.46879,1.45209,0.01189,0.0002312,0.0002312,0.0002312
136,7721.99,1.72656,1.76512,0.01458,0.48369,0.38998,0.38132,0.19203,1.47357,1.44407,0.01186,0.000218,0.000218,0.000218
137,7777.86,1.75544,1.81818,0.0148,0.46024,0.41582,0.38106,0.19255,1.49168,1.46873,0.01267,0.0002048,0.0002048,0.0002048
138,7833.76,1.71879,1.72897,0.01477,0.46299,0.39698,0.38226,0.19103,1.48508,1.45891,0.01246,0.0001916,0.0001916,0.0001916
139,7889.56,1.75546,1.77759,0.01491,0.47988,0.40251,0.38585,0.19552,1.48582,1.47303,0.01249,0.0001784,0.0001784,0.0001784
140,7945.42,1.73819,1.78907,0.0146,0.45661,0.41325,0.38113,0.19115,1.50005,1.46148,0.01251,0.0001652,0.0001652,0.0001652
141,8001.6,1.68418,1.5445,0.01527,0.44926,0.39925,0.37624,0.19019,1.51765,1.48245,0.01253,0.000152,0.000152,0.000152
142,8057.39,1.65336,1.509,0.01465,0.45556,0.40626,0.38195,0.19327,1.50663,1.51747,0.01232,0.0001388,0.0001388,0.0001388
143,8112.99,1.63508,1.48916,0.01413,0.44694,0.41738,0.38432,0.19504,1.51799,1.48072,0.01251,0.0001256,0.0001256,0.0001256
144,8168.68,1.65912,1.49361,0.01455,0.45248,0.42129,0.38951,0.19525,1.50553,1.4937,0.01234,0.0001124,0.0001124,0.0001124
145,8224.5,1.65382,1.48836,0.01456,0.46837,0.41425,0.39092,0.19572,1.49589,1.47444,0.01207,9.92e-05,9.92e-05,9.92e-05
146,8282.5,1.64432,1.4716,0.01403,0.45849,0.41425,0.38911,0.19548,1.49924,1.46531,0.0123,8.6e-05,8.6e-05,8.6e-05
147,8341.15,1.64224,1.4749,0.01423,0.4651,0.40564,0.39214,0.19914,1.49096,1.47038,0.01211,7.28e-05,7.28e-05,7.28e-05
148,8398.38,1.67152,1.47814,0.01457,0.4702,0.41269,0.39332,0.19935,1.49465,1.46146,0.0121,5.96e-05,5.96e-05,5.96e-05
149,8454.34,1.62952,1.47711,0.01429,0.4783,0.41112,0.39349,0.19783,1.49776,1.45327,0.01223,4.64e-05,4.64e-05,4.64e-05
150,8510.13,1.62091,1.46752,0.01386,0.47021,0.41354,0.39458,0.19728,1.49933,1.45489,0.01225,3.32e-05,3.32e-05,3.32e-05
